,experiment_name,step,sequence_size,checkpoint_path,psnr,ssim,lpips,num_rays_per_sec,fps
20,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,21000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000021000.ckpt,13.35404109954834,0.6295004487037659,0.4184834361076355,78304.5234375,0.08496583998203278
21,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,22000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000022000.ckpt,13.663555145263672,0.6648903489112854,0.4083961248397827,80087.7578125,0.08690077811479568
22,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,23000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000023000.ckpt,12.925156593322754,0.6235535144805908,0.4134522080421448,80071.7578125,0.08688341826200485
23,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,24000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000024000.ckpt,13.056705474853516,0.6336394548416138,0.41278016567230225,78555.875,0.08523857593536377
24,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,25000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000025000.ckpt,13.20655345916748,0.643403172492981,0.41219478845596313,79316.6953125,0.08606412261724472
25,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,26000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000026000.ckpt,13.025856971740723,0.6316255331039429,0.41259390115737915,78894.7265625,0.08560625463724136
26,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,27000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000027000.ckpt,13.344709396362305,0.6528190970420837,0.4110203981399536,78522.21875,0.08520206063985825
27,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,28000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000028000.ckpt,13.47032356262207,0.6606609225273132,0.4086466431617737,78788.3671875,0.08549084514379501
28,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,29000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000029000.ckpt,13.721997261047363,0.6736463904380798,0.40733247995376587,78768.6796875,0.08546948432922363
29,2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto,30000,12,models/2023-01-23-23-35-51-za_30-specimen_rgb_n_12-nerfacto/step-000030000.ckpt,13.330866813659668,0.6507758498191833,0.40962812304496765,79747.7734375,0.0865318700671196
